Cat.No,Compound name,Target Class,Primary Target*,Primary Action,Brief Description,Batch,Product Data Sheet,Plate Number,Plate Location
1746,Nemonapride,7-TM Receptors,Non-selective Dopamine,Antagonist,Highly potent D2-like antagonist; also 5-HT1A agonist,1,Datasheet_1746,2,H11
1780,NNC 63-0532,7-TM Receptors,NOP Receptors,Agonist,Potent non-peptide NOP agonist; brain penetrant,1,Datasheet_1780,3,A05
1809,Altanserin hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist,5-HT2A receptor antagonist,1,Datasheet_1809,3,A09
1810,Raclopride,7-TM Receptors,Non-selective Dopamine,Antagonist,Potent and selective D2 and D3 antagonist,3,Datasheet_1810,3,A10
1854,Ro 60-0175 fumarate,7-TM Receptors,5-HT2C Receptors,Agonist,"Potent, selective 5-HT2C agonist",2,Datasheet_1854,3,A11
1944,Loratidine,7-TM Receptors,Histamine H1 Receptors,Antagonist,Peripheral H1 antagonist; antiallergic agent,1,Datasheet_1944,3,B07
1955,Ritanserin,7-TM Receptors,Non-selective 5-HT2,Antagonist,Potent 5-HT2 antagonist,9,Datasheet_1955,3,B08
1960,SB 334867,7-TM Receptors,OX1 Receptor,Antagonist,Selective non-peptide OX1 antagonist,11,Datasheet_1960,3,B09
1963,SB 408124,7-TM Receptors,OX1 Receptor,Antagonist,Selective non-peptide OX1 antagonist,3,Datasheet_1963,3,B10
1980,"L-817,818",7-TM Receptors,Somatostatin Receptors,Agonist,Potent and selective sst5 agonist,2,Datasheet_1980,3,C03
1985,PNU 142633,7-TM Receptors,5-HT1D Receptors,Agonist,Highly selective 5-HT1D agonist,2,Datasheet_1985,3,C05
2009,PSB 1115,7-TM Receptors,Adenosine A2B Receptors,Antagonist,Selective human A2B antagonist; water-soluble,4,Datasheet_2009,3,D02
2010,PSB 10 hydrochloride,7-TM Receptors,Adenosine A3 Receptors,Antagonist,"Potent, highly selective hA3 receptor antagonist/inverse agonist",1,Datasheet_2010,3,D03
2018,Mirtazapine,7-TM Receptors,Non-selective 5-HT2,Antagonist,"Potent 5-HT2 antagonist; also 5-HT3, H1 and α2 antagonist; antidepressant",2,Datasheet_2018,3,D04
2019,PSB 36,7-TM Receptors,Adenosine A1 Receptors,Antagonist,Potent and selective A1 antagonist,1,Datasheet_2019,3,D05
2089,RS 102895 hydrochloride,7-TM Receptors,Chemokine CC Receptors,Antagonist,CCR2b chemokine receptor antagonist,3,Datasheet_2089,3,D10
2197,"L-755,507",7-TM Receptors,Adrenergic Beta-3 Receptors,Agonist,Very potent and selective β3 partial agonist,3,Datasheet_2197,3,F02
2199,CGP 71683 hydrochloride,7-TM Receptors,NPY Receptors,Antagonist,Highly selective and potent non-peptide NPY Y5 receptor antagonist,3,Datasheet_2199,3,F04
2208,LY 255283,7-TM Receptors,Leukotriene and Related Receptors,Antagonist,"Selective, competitive BLT2 receptor antagonist",1,Datasheet_2208,3,F05
2261,"L-692,585",7-TM Receptors,Ghrelin Receptors,Agonist,"Potent, non-peptide ghrelin receptor agonist",4,Datasheet_2261,3,F09
2270,SCH 58261,7-TM Receptors,Adenosine A2A Receptors,Antagonist,"Potent, highly selective A2A antagonist",9,Datasheet_2270,3,F11
2281,2'-MeCCPA,7-TM Receptors,Adenosine A1 Receptors,Agonist,Very selective and potent A1 receptor agonist,1,Datasheet_2281,3,G04
2288,O-1918,7-TM Receptors,Other Cannabinoids,Other,Silent antagonist for putative abnormal-CBD (Cat. No. 1297) receptor,1,Datasheet_2288,3,G05
2292,AQ-RA 741,7-TM Receptors,M2 Receptors,Antagonist,High affinity and selective M2 antagonist,1,Datasheet_2292,3,G06
2299,SCH 39166 hydrobromide,7-TM Receptors,D1 and D5 Receptors,Antagonist,High affinity D1-like antagonist,5,Datasheet_2299,3,G07
2309,SR 142948,7-TM Receptors,Neurotensin Receptors,Antagonist,Highly potent NTS receptor antagonist,3,Datasheet_2309,3,G10
2310,SR 49059,7-TM Receptors,Vasopressin Receptors,Antagonist,"Selective, orally active vasopressin V1A receptor antagonist",2,Datasheet_2310,3,G11
2311,"L-168,049",7-TM Receptors,Glucagon Receptor,Antagonist,"Potent, orally active human glucagon receptor antagonist",1,Datasheet_2311,3,H02
2333,JNJ 16259685,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,"Highly potent, mGlu1-selective non-competitive antagonist",4,Datasheet_2333,3,H07
2339,WEB 2086,7-TM Receptors,Platelet-activating Factor (PAF) Receptors,Antagonist,Potent PAF receptor antagonist,2,Datasheet_2339,3,H09
2382,EMD 386088 hydrochloride,7-TM Receptors,5-HT6 Receptors,Agonist,Potent 5-HT6 agonist,1,Datasheet_2382,4,A05
2385,AMN 082 dihydrochloride,7-TM Receptors,Glutamate (Metabotropic) Group III Receptors,Agonist,Selective mGlu7 agonist,2,Datasheet_2385,4,A06
2386,Fenobam,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Potent and selective mGlu5 negative allosteric modulator (NAM),1,Datasheet_2386,4,A07
2392,JTE 013,7-TM Receptors,Sphingosine-1-phosphate Receptors,Antagonist,S1P2 receptor antagonist,6,Datasheet_2392,4,A08
2394,SDZ NKT 343,7-TM Receptors,NK1 Receptor,Antagonist,Highly selective human NK1 antagonist,1,Datasheet_2394,4,A09
2412,BIBO 3304 trifluoroacetate,7-TM Receptors,NPY Receptors,Antagonist,Highly selective NPY Y1 receptor antagonist,2,Datasheet_2412,4,B02
2440,NNC 26-9100,7-TM Receptors,Somatostatin Receptors,Agonist,Selective sst4 agonist,3,Datasheet_2440,4,B04
2451,LY 344864 hydrochloride,7-TM Receptors,5-HT1F Receptors,Agonist,Potent and selective 5-HT1F agonist,1,Datasheet_2451,4,B06
2463,SCH 442416,7-TM Receptors,Adenosine A2A Receptors,Antagonist,"Very selective, high affinity A2A antagonist",5,Datasheet_2463,4,B10
2465,SDZ WAG 994,7-TM Receptors,Adenosine A1 Receptors,Agonist,"Potent, selective A1 agonist",1,Datasheet_2465,4,B11
2478,2-Pyridylethylamine dihydrochloride,7-TM Receptors,Histamine H1 Receptors,Agonist,H1 agonist,2,Datasheet_2478,4,C05
2479,JTE 907,7-TM Receptors,CB2 Receptors,Inverse Agonist,Selective CB2 receptor inverse agonist,1,Datasheet_2479,4,C06
2481,JTC 801,7-TM Receptors,NOP Receptors,Antagonist,Selective NOP antagonist,4,Datasheet_2481,4,C07
2507,J 104129 fumarate,7-TM Receptors,M3 Receptors,Antagonist,Potent and selective M3 antagonist,2,Datasheet_2507,4,C11
2514,"L-161,982",7-TM Receptors,Prostanoid Receptors,Antagonist,Selective EP4 receptor antagonist,2,Datasheet_2514,4,D03
2550,SUN-B 8155,7-TM Receptors,Calcitonin and Related Receptors,Agonist,Non-peptide calcitonin agonist,2,Datasheet_2550,4,D09
2592,TCB-2,7-TM Receptors,5-HT2A Receptors,Agonist,High affinity and potent 5-HT2A agonist,4,Datasheet_2592,4,E07
2598,(+/-)-J 113397,7-TM Receptors,NOP Receptors,Antagonist,Potent and selective NOP antagonist,5,Datasheet_2598,4,E08
2599,OSU 6162 hydrochloride,7-TM Receptors,Dopaminergic-Related,Other,Dopamine stabilizer,2,Datasheet_2599,4,E09
2607,CI 988,7-TM Receptors,CCK2 Receptor,Antagonist,Potent and selective CCK2 antagonist,1,Datasheet_2607,4,E11
2635,NGB 2904,7-TM Receptors,D3 Receptors,Antagonist,Potent and selective D3 antagonist,1,Datasheet_2635,4,F08
2641,"L-368,899 hydrochloride",7-TM Receptors,Oxytocin Receptors,Antagonist,"Potent, non-peptide oxytocin receptor antagonist",3,Datasheet_2641,4,F09
2649,GW 9508,7-TM Receptors,Free Fatty Acid Receptors,Agonist,Potent and selective FFA1 (GPR40) agonist,1,Datasheet_2649,4,F10
2664,Cabergoline,7-TM Receptors,Non-selective Dopamine,Agonist,D2-like agonist (D2>D3>D4),2,Datasheet_2664,4,G03
2685,Carvedilol,7-TM Receptors,Non-selective Adrenergic Beta Receptors,Antagonist,Potent and non-selective β antagonist; also potent α1 antagonist,1,Datasheet_2685,4,G07
2724,SB 265610,7-TM Receptors,Chemokine CXC Receptors,Antagonist,Potent CXCR2 antagonist,6,Datasheet_2724,4,H03
2725,SB 225002,7-TM Receptors,Chemokine CXC Receptors,Antagonist,Potent and selective CXCR2 antagonist,2,Datasheet_2725,4,H04
2726,SB 258719 hydrochloride,7-TM Receptors,5-HT7 Receptors,Antagonist,Selective 5-HT7 antagonist,1,Datasheet_2726,4,H05
2749,Dexmedetomidine hydrochloride,7-TM Receptors,Adrenergic Alpha-2 Receptors,Agonist,"Potent, highly selective α2 agonist. Active isomer of medetomidine (Cat. No. 5160)",1,Datasheet_2749,4,H10
2757,UCB 35625,7-TM Receptors,Chemokine CC Receptors,Antagonist,Potent CCR1 and CCR3 antagonist,3,Datasheet_2757,4,H11
2758,B-HT 933 dihydrochloride,7-TM Receptors,Adrenergic Alpha-2 Receptors,Agonist,Selective α2 agonist,4,Datasheet_2758,5,A02
2760,"L-748,337",7-TM Receptors,Adrenergic Beta-3 Receptors,Antagonist,Selective β3 antagonist,4,Datasheet_2760,5,A03
2767,"L-365,260",7-TM Receptors,CCK2 Receptor,Antagonist,Selective CCK2 antagonist,2,Datasheet_2767,5,A04
2773,Sumanirole maleate,7-TM Receptors,D2 Receptors,Agonist,Selective D2 agonist,1,Datasheet_2773,5,A06
2778,Antalarmin hydrochloride,7-TM Receptors,CRF1 Receptors,Antagonist,CRF1 antagonist,2,Datasheet_2778,5,A07
2779,CP 154526,7-TM Receptors,CRF1 Receptors,Antagonist,"Selective, non-peptide CRF1 antagonist",3,Datasheet_2779,5,A08
2791,SC 51322,7-TM Receptors,Prostanoid Receptors,Antagonist,Potent EP1 receptor antagonist,1,Datasheet_2791,5,A10
2838,(R)-(-)-Phenylephrine hydrochloride,7-TM Receptors,Adrenergic Alpha-1 Receptors,Agonist,α1 agonist,1,Datasheet_2838,5,B06
2893,CP 96345,7-TM Receptors,NK1 Receptor,Antagonist,Potent and selective NK1 antagonist,1,Datasheet_2893,5,C05
2901,SB 242084,7-TM Receptors,5-HT2C Receptors,Antagonist,Selective 5-HT2C antagonist; brain penetrant,3,Datasheet_2901,5,C07
2913,Ro 64-5229,7-TM Receptors,Glutamate (Metabotropic) Group II Receptors,Antagonist,"Selective, non-competitive mGlu2 antagonist",1,Datasheet_2913,5,C11
2921,MTEP hydrochloride,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,Potent and selective mGlu5 antagonist,4,Datasheet_2921,5,D03
2937,Atipamezole hydrochloride,7-TM Receptors,Adrenergic Alpha-2 Receptors,Antagonist,Selective α2 antagonist,1,Datasheet_2937,5,D06
2957,Org 27569,7-TM Receptors,CB1 Receptors,Modulator,Potent allosteric modulator of CB1 receptors,1,Datasheet_2957,5,D08
2964,Doxazosin mesylate,7-TM Receptors,Adrenergic Alpha-1 Receptors,Antagonist,α1 antagonist,1,Datasheet_2964,5,D10
2993,RS 127445 hydrochloride,7-TM Receptors,5-HT2B Receptors,Antagonist,High affinity and selective 5-HT2B antagonist,4,Datasheet_2993,5,E07
3026,ONO 1078,7-TM Receptors,Leukotriene and Related Receptors,Antagonist,Selective CysLT1 antagonist; also TREK2 activator,1,Datasheet_3026,5,E11
3036,Loxiglumide,7-TM Receptors,CCK1 Receptor,Antagonist, CCK1 antagonist; active in vivo,1,Datasheet_3036,5,F02
3041,CP 809101 hydrochloride,7-TM Receptors,5-HT2C Receptors,Agonist,Potent and selective 5-HT2C agonist,2,Datasheet_3041,5,F04
3050,Tamsulosin hydrochloride,7-TM Receptors,Adrenergic Alpha-1 Receptors,Antagonist,Selective α1A antagonist,1,Datasheet_3050,5,F06
3077,LY 272015 hydrochloride,7-TM Receptors,5-HT2B Receptors,Antagonist,High affinity 5-HT2B antagonist; orally active,1,Datasheet_3077,5,F10
3078,LY 310762 hydrochloride,7-TM Receptors,5-HT1D Receptors,Antagonist,Selective 5-HT1D antagonist,1,Datasheet_3078,5,F11
3100,NBI 35965 hydrochloride,7-TM Receptors,CRF1 Receptors,Antagonist,Potent and selective CRF1 antagonist,3,Datasheet_3100,5,G07
3129,BMS CCR2 22,7-TM Receptors,Chemokine CC Receptors,Antagonist,"High affinity, potent CCR2 antagonist",3,Datasheet_3129,5,H03
3136,2-Chloroadenosine,7-TM Receptors,Non-selective Adenosine,Agonist,Adenosine receptor agonist,1,Datasheet_3136,5,H06
3188,SB 699551,7-TM Receptors,5-HT5 Receptors,Antagonist,Selective 5-ht5a antagonist,2,Datasheet_3188,5,H08
3189,SB 399885 hydrochloride,7-TM Receptors,5-HT6 Receptors,Antagonist,Potent and selective 5-HT6 antagonist,3,Datasheet_3189,5,H09
3198,PSB 603,7-TM Receptors,Adenosine A2B Receptors,Antagonist,Highly selective A2B antagonist,2,Datasheet_3198,6,A03
3199,PSB 0788,7-TM Receptors,Adenosine A2B Receptors,Antagonist,Selective A2B antagonist,1,Datasheet_3199,6,A04
3200,XAC,7-TM Receptors,Non-selective Adenosine,Antagonist,Adenosine receptor antagonist,3,Datasheet_3200,6,A05
3212,CP 376395 hydrochloride,7-TM Receptors,CRF1 Receptors,Antagonist,Potent and selective CRF1 antagonist; binds at an allosteric site,1,Datasheet_3212,6,A07
3219,CGP 36216 hydrochloride,7-TM Receptors,GABAB Receptors,Antagonist,GABAB antagonist; displays activity at presynaptic receptors,1,Datasheet_3219,6,A08
3235,CDPPB,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Positive allosteric modulator of mGlu5 receptors,5,Datasheet_3235,6,A09
3240,SCH 221510,7-TM Receptors,NOP Receptors,Agonist,Potent and selective NOP agonist,2,Datasheet_3240,6,A11
3256,Metoprolol tartrate,7-TM Receptors,Adrenergic Beta-1 Receptors,Antagonist,Selective β1 antagonist,1,Datasheet_3256,6,B07
3282,NAD 299 hydrochloride,7-TM Receptors,5-HT1A Receptors,Antagonist,"Selective, high affinity 5-HT1A antagonist",3,Datasheet_3282,6,C03
3297,SSR 146977 hydrochloride,7-TM Receptors,NK3 Receptor,Antagonist,Potent and selective NK3 antagonist,1,Datasheet_3297,6,C08
3313,rac BHFF,7-TM Receptors,GABAB Receptors,Modulator,Potent and selective postitive allosteric modulator of  GABAB receptors,1,Datasheet_3313,6,D03
3326,BGC 20-761,7-TM Receptors,5-HT6 Receptors,Antagonist,High affinity 5-HT6 antagonist,1,Datasheet_3326,6,D09
3342,"L-798,106",7-TM Receptors,Prostanoid Receptors,Antagonist,Potent and highly selective EP3 antagonist,4,Datasheet_3342,6,E02
3347,SNAP 94847 hydrochloride,7-TM Receptors,Melanin-concentrating Hormone Receptors,Antagonist,Potent and selective MCH1 antagonist,2,Datasheet_3347,6,E03
3351,Selexipag,7-TM Receptors,Prostanoid Receptors,Agonist,Selective prostacyclin IP1 receptor agonist,2,Datasheet_3351,6,E04
3368,SB 271046 hydrochloride,7-TM Receptors,5-HT6 Receptors,Antagonist,Selective 5-HT6 antagonist; orally active,2,Datasheet_3368,6,E11
3370,AC 264613,7-TM Receptors,Protease-Activated Receptors,Agonist,PAR2 receptor agonist,1,Datasheet_3370,6,F02
3371,TCS OX2 29,7-TM Receptors,OX2 Receptor,Antagonist,Potent and selective OX2 antagonist,2,Datasheet_3371,6,F03
3383,VU 152100,7-TM Receptors,M4 Receptors,Modulator,Positive allosteric modulator of M4 receptors,2,Datasheet_3383,6,F07
3417,CP 99994 dihydrochloride,7-TM Receptors,NK1 Receptor,Antagonist,High affinity NK1 antagonist,1,Datasheet_3417,6,G02
3489,Astemizole,7-TM Receptors,Histamine H1 Receptors,Antagonist,"Orally active, potent H1 antagonist; also KV11.1 (hERG) channel blocker",4,Datasheet_3489,6,G04
3496,BX 471,7-TM Receptors,Chemokine CC Receptors,Antagonist,"Potent, selective CCR1 antagonist",3,Datasheet_3496,6,G06
3545,Histamine dihydrochloride,7-TM Receptors,Histamine H1 Receptors,Agonist,Endogenous histamine receptor agonist,1,Datasheet_3545,6,H07
3550,Melatonin,7-TM Receptors,Melatonin (MT) Receptors,Agonist,Endogenous hormone; agonist at MT1 and MT2,1,Datasheet_3550,6,H08
3562,LU AA33810,7-TM Receptors,NPY Receptors,Antagonist,Potent NPY Y5 receptor antagonist,2,Datasheet_3562,6,H09
3569,Xanomeline oxalate,7-TM Receptors,M1 Receptors,Agonist,Functionally selective M1 agonist,4,Datasheet_3569,6,H11
3573,SB 612111 hydrochloride,7-TM Receptors,NOP Receptors,Antagonist,Selective NOP antagonist,3,Datasheet_3573,7,A04
3576,(+/-)-5'-Chloro-5'-deoxy-ENBA,7-TM Receptors,Adenosine A1 Receptors,Agonist,Highly selective A1 agonist,5,Datasheet_3576,7,A06
3581,C 021 dihydrochloride,7-TM Receptors,Chemokine CC Receptors,Antagonist,Potent CCR4 antagonist,1,Datasheet_3581,7,A08
3586,Sumatriptan succinate,7-TM Receptors,5-HT1D Receptors,Agonist,"5-HT1A, 5-HT1B and 5-HT1D agonist",1,Datasheet_3586,7,A09
3601,CYM 5442 hydrochloride,7-TM Receptors,Sphingosine-1-phosphate Receptors,Agonist,Selective S1P1 receptor agonist,3,Datasheet_3601,7,B03
3624,Adenosine,7-TM Receptors,Non-selective Adenosine,Agonist,Endogenous adenosine receptor agonist,1,Datasheet_3624,7,B08
3626,NPS 2143 hydrochloride,7-TM Receptors,Calcium-Sensing Receptor,Antagonist,Selective calcium-sensing receptor (CaSR) antagonist; orally active calcilytic agent,2,Datasheet_3626,7,B09
3634,VU 0238429,7-TM Receptors,M5 Receptors,Modulator,Selective positive allosteric modulator of M5 receptors,1,Datasheet_3634,7,B10
3649,CP 122721 hydrochloride,7-TM Receptors,NK1 Receptor,Antagonist,High affinity NK1 antagonist,1,Datasheet_3649,7,C02
3650,SB 328437,7-TM Receptors,Chemokine CC Receptors,Antagonist,Potent and selective CCR3 antagonist,1,Datasheet_3650,7,C03
3661,BAN ORL 24,7-TM Receptors,NOP Receptors,Antagonist,Potent and selective NOP antagonist,3,Datasheet_3661,7,C07
3695,CHPG Sodium salt,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Agonist,Selective mGlu5 agonist; sodium salt of CHPG (Cat. No. 1049),3,Datasheet_3695,7,D05
3721,SR 48692,7-TM Receptors,Neurotensin Receptors,Antagonist,Selective non-peptide NTS1 antagonist,1,Datasheet_3721,7,D10
3739,Sarpogrelate hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist,Selective 5-HT2A antagonist,1,Datasheet_3739,7,E04
3743,BF 2649 hydrochloride,7-TM Receptors,Histamine H3 Receptors,Inverse Agonist,Potent and selective H3 inverse agonist,2,Datasheet_3743,7,E06
3753,A 943931 dihydrochloride,7-TM Receptors,Histamine H4 Receptors,Antagonist,Potent and selective H4 antagonist,1,Datasheet_3753,7,E10
3756,Maraviroc,7-TM Receptors,Chemokine CC Receptors,Antagonist,Selective CCR5 antagonist,1,Datasheet_3756,7,F02
