catalog_id,smiles,product_name,pubchem_id,chemical_name,molecular_formula,cas_numeber,molecular_weight_batch,target_class,primary_target,primary_action,brief_description,batch,rdkit_smiles,chemical_cluster_0.75,medoid_0.75
905,COC1=CC=C(C=C1OC1CCCC1)C1CNC(=O)C1,Rolipram,5092,4-(3-(Cyclopentyloxy)-4-methoxyphenyl)pyrrolidin-2-one,C16H21NO3,[61413-54-5],275.35,Enzymes,Phosphodiesterases,Inhibitor,PDE4 inhibitor,19,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,370,1
909,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,Tropicamide,5593,N-Ethyl-3-hydroxy-2-phenyl-N-(pyridinylmethyl)propanamide,C17H20N2O2,[1508-75-4],284.36,7-TM Receptors,M4 Receptors,Antagonist,Selective M4 antagonist,3,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,219,1
911,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,Glibenclamide,3488,5-Chloro-N-[2-[4-[[[(Cylcohexylamino)carbonyl]amino]sulphonyl]phenyl]ethyl]-2-methoxybenzamide,C23H28ClN3O5S,[10238-21-8],494,Ion Channels,Inward rectifier Potassium Channels,Blocker,Kir6 (KATP) channel blocker,4,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,335,0
921,[H][C@@](C1)2[C@](CC(N=C(C=CC=C4)C4=C3)=C3C2)([C@]5=CC=CC(O)=C5)CCN1C.Br.Br,SB 205607 dihydrobromide,56972161,"(R*,S*)-(�)-2-Methyl-4aa-(3-hydroxyphenyl)-1,2,3,4,4a,5,12,12aa-octahydroquinolino[2,3,3-g]isoquinoline dihydrobromide",C23H24N2O.2HBr,[1217628-73-3],542.31,7-TM Receptors,Delta Opioid Receptors,Agonist,"Selective, high affinity non-peptide ?1 agonist",5,CN1CC[C@]2(c3cccc(O)c3)Cc3nc4ccccc4cc3C[C@H]2C1,127,1
924,O=C(O)/C=C\C(O)=O.C[C@]1(N4)C3=C(C=CC=C3)C[C@@H]4C2=C1C=CC=C2,(+)-MK 801 maleate,6420042,"(5S,10R)-(+)-5-Methyl-10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5,10-imine maleate",C16H15N.C4H4O4,[77086-22-7],337.37,Ion Channels,NMDA Receptors,Antagonist,Non-competitive NMDA antagonist; acts at ion channel site,12,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,144,1
927,Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,Fluoxetine hydrochloride,62857,N-Methyl-3-[(4-trifluoromethyl)phenoxy]-3-phenylpropylamine hydrochloride,C17H18F3NO.HCl,[56296-78-7],345.78,Transporters,5-HT Transporters,Inhibitor,5-HT reuptake inhibitor,5,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,181,0
937,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1,Pimozide,16362,"1-[1-[4,4-Bis(4-fluorophenyl)butyl]-4-piperidinyl]-1,3-dihydro-2H-benzimidazol-2-one",C28H29F2N3O,[2062-78-4],461.55,7-TM Receptors,Non-selective Dopamine,Antagonist,D2-like antagonist; also high affinity 5-HT7 antagonist,9,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,262,0
942,CS(=O)(=O)NC1=C(OC2CCCCC2)C=C(C=C1)[N+]([O-])=O,NS 398,4553,N-[2-Cyclohexyloxy-4-nitrophenyl]methanesulfonamide,C13H18N2O5S,[123653-11-2],314.36,Enzymes,Cyclooxygenase,Inhibitor,Cyclooxygenase-2 (COX-2) inhibitor,2,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,89,1
947,CCCOC1=C(C=CC=C1)C1=NC2=C(NN=N2)C(=O)N1,Zaprinast,5722,2-(2-Propyloxyphenyl)-8-azapurin-6-one,C13H13N5O2,[37762-06-4],271.28,7-TM Receptors,GPR35,Agonist,GPR35 agonist,10,CCCOc1ccccc1-c1nc2nn[nH]c2c(=O)[nH]1,667,1
950,[H]OC(=O)\C=C\C(=O)O[H].OC(CNCCNC(=O)N1CCOCC1)COC1=CC=C(O)C=C1.OC(CNCCNC(=O)N1CCOCC1)COC1=CC=C(O)C=C1,Xamoterol hemifumarate,6440459,1-(4-Hydroxyphenoxy)-3-[2-(4-morpholinocarboxamido)ethylamino]-2-propanol hemifumarate,C16H25N3O5.0.5C4H4O4,[73210-73-8],401.93,7-TM Receptors,Adrenergic Beta-1 Receptors,Agonist,Selective ?1 partial agonist,4,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,433,0
955,O=C(O)/C=C\C(O)=O.C[C@@]14C3=C(C=CC=C3)C[C@H](N4)C2=C1C=CC=C2,(-)-MK 801 maleate,16219612,"(5R,10S)-(-)-5-Methyl-10,11-dihydro-5H-dibenzo[a,d]cylcohepten-5,10-imine maleate",C16H15N.C4H4O4,[121917-57-5],337.37,Ion Channels,NMDA Receptors,Antagonist,NMDA antagonist; less active enantiomer of (+)-MK 801,2,C[C@@]12N[C@@H](Cc3ccccc31)c1ccccc12,144,0
956,Br.Br.CN(C)CCN(C)CCC1=CC=C(Cl)C(Cl)=C1,BD 1047 dihydrobromide,45073418,"N-[2-(3,4-Dichlorophenyl)ethyl]-N-methyl-2-(dimethylamino)ethylamine dihydrobromide",C13H20Cl2N2.2HBr,[138356-21-5],437.04,Other Pharmacology,Sigma1 Receptors,Antagonist,?1 selective antagonist,4,CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1,626,1
991,Cl.COC1=CC(OC)=CC(COC2=CC(N)=C(Cl)C=C2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)=C1,RS 39604 hydrochloride,19081934,"1-[4-Amino-5-chloro-2-(3,5-dimethoxyphenyl)methyloxy]-3-[1-[2-methylsulphonylamino]ethyl]piperidin-4-yl]propan-1-one hydrochloride",C26H36ClN3O6S.HCl,[167710-87-4],595.06,7-TM Receptors,5-HT4 Receptors,Antagonist,5-HT4 antagonist,3,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1,338,1
993,[H]OC(=O)\C=C\C(=O)O[H].CC(C)(C)NCC(O)COC1=C2C=C(NC2=CC=C1)C#N.CC(C)(C)NCC(O)COC1=C2C=C(NC2=CC=C1)C#N,Cyanopindolol hemifumarate,45073413,4-[3-[tert-Butylamino]-2-hydroxypropoxy]-1H-indole-2-carbonitrile hemifumarate,C16H21N3O2.�C4H4O4,[69906-86-1],345.4,7-TM Receptors,5-HT1A Receptors,Antagonist,5-HT1A and 5-HT1B antagonist; also ?-adrenergic antagonist,4,CC(C)(C)NCC(O)COc1cccc2[nH]c(C#N)cc12,347,1
995,Cl.FC1=CC=C(C=C1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1,Spiperone hydrochloride,11957687,"8-[4-(4-Fluorophenyl)-4-oxobutyl]-1-phenyl-1,3,8-triazaspiro[4,5]decan-4-one hydrochloride",C23H26FN3O2.HCl,[2022-29-9],431.94,7-TM Receptors,5-HT2A Receptors,Antagonist,5-HT2A antagonist; also D2-like antagonist,10,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,281,0
999,CC/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C1=CC=C(OCCN(C)C)C=C1.O=C(O)CC(O)(C(O)=O)CC(O)=O,Tamoxifen citrate,2733525,"(Z)-2-[4-(1,2-Diphenyl-1-butenyl)phenoxy]-N,N-dimethylethanamine citrate",C26H29NO.C6H8O7,[54965-24-1],563.65,Nuclear Receptors,Estrogen and Related Receptors,Modulator,Estrogen receptor partial agonist/antagonist,4,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,435,1
1000,[Cl-].CCN(C1=CC=CC=C1)C1=CC(NC)=[N+](C)C(C)=N1,ZD 7288,123983,"4-Ethylphenylamino-1,2-dimethyl-6-methylaminopyrimidinium chloride",C15H21ClN4,[133059-99-1],301.82,Ion Channels,HCN Channels,Blocker,Inhibits pacemaker (If) current,6,CCN(c1ccccc1)c1cc(NC)[n+](C)c(C)n1,233,1
1003,OC1(CCN(CC2=CNC3=CC=CC=C23)CC1)C1=CC=C(Cl)C=C1,"L-741,626",133633,3-[[4-(4-Chlorophenyl)-4-hydroxypiperidin-l-yl]methyl-1H-indole,C20H21ClN2O,[81226-60-0],340.85,7-TM Receptors,D2 Receptors,Antagonist,High affinity D2 antagonist,5,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,795,0
1027,O=C(NC4=CC=CC=C4)C3(C2C3)OC1=CC=CC=C1/C2=N/O,PHCCC,5866327,N-Phenyl-7-(hydroxyimino)cyclopropa[b]chromen-1a-carboxamide,C17H14N2O3,[179068-02-1],294.31,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,Potent group I mGlu antagonist,7,O=C(Nc1ccccc1)C12CC1/C(=N\O)c1ccccc1O2,638,1
1028,O=C(OCC)C3(C2C3)OC1=CC=CC=C1/C2=N/O,CPCCOEt,6278000,7-(Hydroxyimino)cyclopropa[b]chromen-1a-carboxylate ethyl ester,C13H13NO4,[179067-99-3],247.25,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Antagonist,Selective non-competitive mGlu1 antagonist,12,CCOC(=O)C12CC1/C(=N\O)c1ccccc1O2,638,0
1034,CCC(=O)NC1CC(C2=CC=CC=C2)C2=C(C1)C=CC=C2,4-P-PDOT,3976006,cis-4-Phenyl-2-propionamidotetralin,C19H21NO,[620170-78-7],283.88,7-TM Receptors,Melatonin (MT) Receptors,Antagonist,MT2 antagonist,6,CCC(=O)NC1Cc2ccccc2C(c2ccccc2)C1,132,1
1036,NC1=NC(NCCC2=CC=C(O)C=C2)=NC2=NC(=NN12)C1=CC=CO1,ZM 241385,176407,"4-(2-[7-Amino-2-(2-furyl)[1,2,4]triazolo[2,3-a][1,3,5]triazin-5-ylamino]ethyl)phenol",C16H15N7O2,[139180-30-6],337.34,7-TM Receptors,Adenosine A2A Receptors,Antagonist,Potent and highly selective A2A antagonist,14,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,164,0
1041,CCN1C(=O)NC2=C1C=CC=C2,1-EBIO,82320,1-Ethyl-2-benzimidazolinone,C9H10N2O,[10045-45-1],162.19,Ion Channels,Ca2+-Activated Potassium Channels,Activator,Activator of epithelial KCa channels,7,CCn1c(=O)[nH]c2ccccc21,263,1
