UniProtKB,Entry_Name,Cluster
Q00534,CDK6_HUMAN,Kinase
P50613,CDK7_HUMAN,Kinase
Q8IZL9,CDK20_HUMAN,Kinase
Q15131,CDK10_HUMAN,Kinase
P50750,CDK9_HUMAN,Kinase
Q00535,CDK5_HUMAN,Kinase
P06493,CDK1_HUMAN,Kinase
P24941,CDK2_HUMAN,Kinase
Q00526,CDK3_HUMAN,Kinase
Q96Q40,CDK15_HUMAN,Kinase
O94921,CDK14_HUMAN,Kinase
Q5S007,LRRK2_HUMAN,Kinase
P16066,ANPRA_HUMAN,Kinase
P20594,ANPRB_HUMAN,Kinase
P25092,GUC2C_HUMAN,Kinase
Q02846,GUC2D_HUMAN,Kinase
P51841,GUC2F_HUMAN,Kinase
Q5TCX8,M3K21_HUMAN,Kinase
P80192,M3K9_HUMAN,Kinase
Q16584,M3K11_HUMAN,Kinase
Q02779,M3K10_HUMAN,Kinase
Q8NER5,ACV1C_HUMAN,Kinase
P36896,ACV1B_HUMAN,Kinase
P36897,TGFR1_HUMAN,Kinase
P36894,BMR1A_HUMAN,Kinase
O00238,BMR1B_HUMAN,Kinase
P37023,ACVL1_HUMAN,Kinase
Q04771,ACVR1_HUMAN,Kinase
Q13873,BMPR2_HUMAN,Kinase
P27037,AVR2A_HUMAN,Kinase
Q13705,AVR2B_HUMAN,Kinase
Q16671,AMHR2_HUMAN,Kinase
P37173,TGFR2_HUMAN,Kinase
Q9Y6M4,KC1G3_HUMAN,Kinase
Q9HCP0,KC1G1_HUMAN,Kinase
P78368,KC1G2_HUMAN,Kinase
Q8N752,KC1AL_HUMAN,Kinase
P48729,KC1A_HUMAN,Kinase
P48730,KC1D_HUMAN,Kinase
P49674,KC1E_HUMAN,Kinase
Q6IQ55,TTBK2_HUMAN,Kinase
Q5TCY1,TTBK1_HUMAN,Kinase
Q9Y6R4,M3K4_HUMAN,Kinase
Q13233,M3K1_HUMAN,Kinase
Q12852,M3K12_HUMAN,Kinase
O43283,M3K13_HUMAN,Kinase
P15056,BRAF_HUMAN,Kinase
P04049,RAF1_HUMAN,Kinase
P10398,ARAF_HUMAN,Kinase
Q6VAB6,KSR2_HUMAN,Kinase
Q8IVT5,KSR1_HUMAN,Kinase
Q56UN5,M3K19_HUMAN,Kinase
O15111,IKKA_HUMAN,Kinase
O14920,IKKB_HUMAN,Kinase
Q14164,IKKE_HUMAN,Kinase
Q9UHD2,TBK1_HUMAN,Kinase
P53671,LIMK2_HUMAN,Kinase
P53667,LIMK1_HUMAN,Kinase
Q15569,TESK1_HUMAN,Kinase
Q96S53,TESK2_HUMAN,Kinase
Q9NYL2,M3K20_HUMAN,Kinase
Q59H18,TNI3K_HUMAN,Kinase
Q99759,M3K3_HUMAN,Kinase
Q9Y2U5,M3K2_HUMAN,Kinase
Q99558,M3K14_HUMAN,Kinase
O14733,MP2K7_HUMAN,Kinase
P45985,MP2K4_HUMAN,Kinase
P46734,MP2K3_HUMAN,Kinase
P52564,MP2K6_HUMAN,Kinase
Q13163,MP2K5_HUMAN,Kinase
Q02750,MP2K1_HUMAN,Kinase
P36507,MP2K2_HUMAN,Kinase
Q9P2K8,E2AK4_HUMAN,Kinase
Q8IWU2,LMTK2_HUMAN,Kinase
O14976,GAK_HUMAN,Kinase
O75061,AUXI_HUMAN,Kinase
Q76MJ5,ERN2_HUMAN,Kinase
O75460,ERN1_HUMAN,Kinase
Q2M2I8,AAK1_HUMAN,Kinase
Q9NSY1,BMP2K_HUMAN,Kinase
Q9UPE1,SRPK3_HUMAN,Kinase
Q96SB4,SRPK1_HUMAN,Kinase
P78362,SRPK2_HUMAN,Kinase
Q9NZJ5,E2AK3_HUMAN,Kinase
Q8IV63,VRK3_HUMAN,Kinase
Q99986,VRK1_HUMAN,Kinase
Q86Y07,VRK2_HUMAN,Kinase
P30291,WEE1_HUMAN,Kinase
P0C1S8,WEE2_HUMAN,Kinase
P51617,IRAK1_HUMAN,Kinase
Q9Y616,IRAK3_HUMAN,Kinase
O43187,IRAK2_HUMAN,Kinase
Q8TDR2,STK35_HUMAN,Kinase
Q8N165,PDK1L_HUMAN,Kinase
O00311,CDC7_HUMAN,Kinase
Q9BQI3,E2AK1_HUMAN,Kinase
Q7RTN6,STRAA_HUMAN,Kinase
Q9C0K7,STRAB_HUMAN,Kinase
P19525,E2AK2_HUMAN,Kinase
Q99640,PMYT1_HUMAN,Kinase
P41279,M3K8_HUMAN,Kinase
P00540,MOS_HUMAN,Kinase
P0C263,SBK2_HUMAN,Kinase
O75716,STK16_HUMAN,Kinase
Q13546,RIPK1_HUMAN,Kinase
Q13418,ILK_HUMAN,Kinase
Q8NB16,MLKL_HUMAN,Kinase
Q6J9G0,STYK1_HUMAN,Kinase
Q9NWZ3,IRAK4_HUMAN,Kinase
Q9Y572,RIPK3_HUMAN,Kinase
O43353,RIPK2_HUMAN,Kinase
Q6DT37,MRCKG_HUMAN,Kinase
Q5VT25,MRCKA_HUMAN,Kinase
Q9Y5S2,MRCKB_HUMAN,Kinase
O14578,CTRO_HUMAN,Kinase
Q13464,ROCK1_HUMAN,Kinase
O75116,ROCK2_HUMAN,Kinase
Q9UK32,KS6A6_HUMAN,Kinase
Q15418,KS6A1_HUMAN,Kinase
Q15349,KS6A2_HUMAN,Kinase
P51812,KS6A3_HUMAN,Kinase
O75676,KS6A4_HUMAN,Kinase
O75582,KS6A5_HUMAN,Kinase
P25098,ARBK1_HUMAN,Kinase
P35626,ARBK2_HUMAN,Kinase
P32298,GRK4_HUMAN,Kinase
P34947,GRK5_HUMAN,Kinase
P43250,GRK6_HUMAN,Kinase
Q15835,GRK1_HUMAN,Kinase
Q8WTQ7,GRK7_HUMAN,Kinase
Q6P5Z2,PKN3_HUMAN,Kinase
Q16512,PKN1_HUMAN,Kinase
Q16513,PKN2_HUMAN,Kinase
Q13976,KGP1_HUMAN,Kinase
Q13237,KGP2_HUMAN,Kinase
Q9UBS0,KS6B2_HUMAN,Kinase
P23443,KS6B1_HUMAN,Kinase
P51817,PRKX_HUMAN,Kinase
P22612,KAPCG_HUMAN,Kinase
P17612,KAPCA_HUMAN,Kinase
P22694,KAPCB_HUMAN,Kinase
Q9Y243,AKT3_HUMAN,Kinase
P31749,AKT1_HUMAN,Kinase
P31751,AKT2_HUMAN,Kinase
P41743,KPCI_HUMAN,Kinase
Q05513,KPCZ_HUMAN,Kinase
P05129,KPCG_HUMAN,Kinase
P05771,KPCB_HUMAN,Kinase
P17252,KPCA_HUMAN,Kinase
Q04759,KPCT_HUMAN,Kinase
Q05655,KPCD_HUMAN,Kinase
P24723,KPCL_HUMAN,Kinase
Q02156,KPCE_HUMAN,Kinase
Q15746,MYLK_HUMAN,Kinase
Q9BZL6,KPCD2_HUMAN,Kinase
Q15139,KPCD1_HUMAN,Kinase
O94806,KPCD3_HUMAN,Kinase
Q9Y2K2,SIK3_HUMAN,Kinase
Q9H0K1,SIK2_HUMAN,Kinase
A0A0B4J2F2,SIK1B_HUMAN,Kinase
P57059,SIK1_HUMAN,Kinase
Q96PY6,NEK1_HUMAN,Kinase
Q8IWQ3,BRSK2_HUMAN,Kinase
Q8TDC3,BRSK1_HUMAN,Kinase
O00444,PLK4_HUMAN,Kinase
P53350,PLK1_HUMAN,Kinase
Q9NYY3,PLK2_HUMAN,Kinase
Q9H4B4,PLK3_HUMAN,Kinase
Q13131,AAPK1_HUMAN,Kinase
P54646,AAPK2_HUMAN,Kinase
Q9H093,NUAK2_HUMAN,Kinase
O60285,NUAK1_HUMAN,Kinase
P51957,NEK4_HUMAN,Kinase
Q9NRH2,SNRK_HUMAN,Kinase
O15530,PDPK1_HUMAN,Kinase
O14965,AURKA_HUMAN,Kinase
Q96GD4,AURKB_HUMAN,Kinase
Q9UQB9,AURKC_HUMAN,Kinase
P57058,HUNK_HUMAN,Kinase
Q14680,MELK_HUMAN,Kinase
Q96RR4,KKCC2_HUMAN,Kinase
Q8N5S9,KKCC1_HUMAN,Kinase
Q9P1W9,PIM2_HUMAN,Kinase
Q86V86,PIM3_HUMAN,Kinase
P11309,PIM1_HUMAN,Kinase
Q96PF2,TSSK2_HUMAN,Kinase
Q9BXA7,TSSK1_HUMAN,Kinase
Q6SA08,TSSK4_HUMAN,Kinase
Q9BXA6,TSSK6_HUMAN,Kinase
Q96PN8,TSSK3_HUMAN,Kinase
Q96LW2,KS6R_HUMAN,Kinase
Q15831,STK11_HUMAN,Kinase
Q8IY84,NIM1_HUMAN,Kinase
P53355,DAPK1_HUMAN,Kinase
Q13554,KCC2B_HUMAN,Kinase
Q13555,KCC2G_HUMAN,Kinase
Q13557,KCC2D_HUMAN,Kinase
Q9UQM7,KCC2A_HUMAN,Kinase
O15075,DCLK1_HUMAN,Kinase
Q8N568,DCLK2_HUMAN,Kinase
Q32MK0,MYLK3_HUMAN,Kinase
Q9UIK4,DAPK2_HUMAN,Kinase
O43293,DAPK3_HUMAN,Kinase
Q9H1R3,MYLK2_HUMAN,Kinase
Q86YV6,MYLK4_HUMAN,Kinase
Q96NX5,KCC1G_HUMAN,Kinase
Q6P2M8,KCC1B_HUMAN,Kinase
Q8IU85,KCC1D_HUMAN,Kinase
Q14012,KCC1A_HUMAN,Kinase
Q9C098,DCLK3_HUMAN,Kinase
P15735,PHKG2_HUMAN,Kinase
Q16816,PHKG1_HUMAN,Kinase
Q9BYT3,STK33_HUMAN,Kinase
Q8NCB2,CAMKV_HUMAN,Kinase
Q16566,KCC4_HUMAN,Kinase
P11801,KPSH1_HUMAN,Kinase
Q96QS6,KPSH2_HUMAN,Kinase
Q9HBH9,MKNK2_HUMAN,Kinase
Q9BUB5,MKNK1_HUMAN,Kinase
Q8IW41,MAPK5_HUMAN,Kinase
P49137,MAPK2_HUMAN,Kinase
Q16644,MAPK3_HUMAN,Kinase
O95382,M3K6_HUMAN,Kinase
Q99683,M3K5_HUMAN,Kinase
Q6ZN16,M3K15_HUMAN,Kinase
O95819,M4K4_HUMAN,Kinase
Q8N4C8,MINK1_HUMAN,Kinase
Q9UKE5,TNIK_HUMAN,Kinase
Q9UL54,TAOK2_HUMAN,Kinase
Q9H2K8,TAOK3_HUMAN,Kinase
Q7L7X3,TAOK1_HUMAN,Kinase
Q7Z2Y5,NRK_HUMAN,Kinase
Q92918,M4K1_HUMAN,Kinase
Q8IVH8,M4K3_HUMAN,Kinase
Q12851,M4K2_HUMAN,Kinase
Q9Y4K4,M4K5_HUMAN,Kinase
Q9H2G2,SLK_HUMAN,Kinase
O94804,STK10_HUMAN,Kinase
Q9UEW8,STK39_HUMAN,Kinase
O95747,OXSR1_HUMAN,Kinase
Q13043,STK4_HUMAN,Kinase
Q13188,STK3_HUMAN,Kinase
Q9P289,STK26_HUMAN,Kinase
Q9Y6E0,STK24_HUMAN,Kinase
O00506,STK25_HUMAN,Kinase
Q13177,PAK2_HUMAN,Kinase
Q13153,PAK1_HUMAN,Kinase
O75914,PAK3_HUMAN,Kinase
Q9NQU5,PAK6_HUMAN,Kinase
O96013,PAK4_HUMAN,Kinase
Q9P286,PAK5_HUMA,Kinase
Q5JZY3,EPHAA_HUMAN,Receptor Tyrosine Kinase
P21709,EPHA1_HUMAN,Receptor Tyrosine Kinase
P29317,EPHA2_HUMAN,Receptor Tyrosine Kinase
P29322,EPHA8_HUMAN,Receptor Tyrosine Kinase
Q9UF33,EPHA6_HUMAN,Receptor Tyrosine Kinase
P29320,EPHA3_HUMAN,Receptor Tyrosine Kinase
P54756,EPHA5_HUMAN,Receptor Tyrosine Kinase
P54764,EPHA4_HUMAN,Receptor Tyrosine Kinase
Q15375,EPHA7_HUMAN,Receptor Tyrosine Kinase
P54760,EPHB4_HUMAN,Receptor Tyrosine Kinase
P54753,EPHB3_HUMAN,Receptor Tyrosine Kinase
P54762,EPHB1_HUMAN,Receptor Tyrosine Kinase
P29323,EPHB2_HUMAN,Receptor Tyrosine Kinase
P21860,ERBB3_HUMAN,Receptor Tyrosine Kinase
Q15303,ERBB4_HUMAN,Receptor Tyrosine Kinase
P04626,ERBB2_HUMAN,Receptor Tyrosine Kinase
P00533,EGFR_HUMAN,Receptor Tyrosine Kinase
P14616,INSRR_HUMAN,Receptor Tyrosine Kinase
P08069,IGF1R_HUMAN,Receptor Tyrosine Kinase
P06213,INSR_HUMAN,Receptor Tyrosine Kinase
P22455,FGFR4_HUMAN,Receptor Tyrosine Kinase
P22607,FGFR3_HUMAN,Receptor Tyrosine Kinase
P21802,FGFR2_HUMAN,Receptor Tyrosine Kinase
P11362,FGFR1_HUMAN,Receptor Tyrosine Kinase
P35916,VGFR3_HUMAN,Receptor Tyrosine Kinase
P17948,VGFR1_HUMAN,Receptor Tyrosine Kinase
P35968,VGFR2_HUMAN,Receptor Tyrosine Kinase
P16234,PGFRA_HUMAN,Receptor Tyrosine Kinase
P09619,PGFRB_HUMAN,Receptor Tyrosine Kinase
P36888,FLT3_HUMAN,Receptor Tyrosine Kinase
P10721,KIT_HUMAN,Receptor Tyrosine Kinase
P07333,CSF1R_HUMAN,Receptor Tyrosine Kinase
P08922,ROS1_HUMAN,Receptor Tyrosine Kinase
P52333,JAK3_HUMAN,Receptor Tyrosine Kinase
O60674,JAK2_HUMAN,Receptor Tyrosine Kinase
P29597,TYK2_HUMAN,Receptor Tyrosine Kinase
P23458,JAK1_HUMAN,Receptor Tyrosine Kinase
P07947,YES_HUMAN,Receptor Tyrosine Kinase
P12931,SRC_HUMAN,Receptor Tyrosine Kinase
P06241,FYN_HUMAN,Receptor Tyrosine Kinase
P09769,FGR_HUMAN,Receptor Tyrosine Kinase
P51451,BLK_HUMAN,Receptor Tyrosine Kinase
P06239,LCK_HUMAN,Receptor Tyrosine Kinase
P08631,HCK_HUMAN,Receptor Tyrosine Kinase
P07948,LYN_HUMAN,Receptor Tyrosine Kinase
P42684,ABL2_HUMAN,Receptor Tyrosine Kinase
P00519,ABL1_HUMAN,Receptor Tyrosine Kinase
Q04912,RON_HUMAN,Receptor Tyrosine Kinase
P08581,MET_HUMAN,Receptor Tyrosine Kinase
Q9UM73,ALK_HUMAN,Receptor Tyrosine Kinase
Q02763,TIE2_HUMAN,Receptor Tyrosine Kinase
P35590,TIE1_HUMAN,Receptor Tyrosine Kinase
Q01974,ROR2_HUMAN,Receptor Tyrosine Kinase
Q01973,ROR1_HUMAN,Receptor Tyrosine Kinase
Q16832,DDR2_HUMAN,Receptor Tyrosine Kinase
Q08345,DDR1_HUMAN,Receptor Tyrosine Kinase
P04629,NTRK1_HUMAN,Receptor Tyrosine Kinase
Q16288,NTRK3_HUMAN,Receptor Tyrosine Kinase
Q16620,NTRK2_HUMAN,Receptor Tyrosine Kinase
Q12866,MERTK_HUMAN,Receptor Tyrosine Kinase
Q06418,TYRO3_HUMAN,Receptor Tyrosine Kinase
P30530,UFO_HUMAN,Receptor Tyrosine Kinase
P51813,BMX_HUMAN,Receptor Tyrosine Kinase
Q06187,BTK_HUMAN,Receptor Tyrosine Kinase
P42681,TXK_HUMAN,Receptor Tyrosine Kinase
P42680,TEC_HUMAN,Receptor Tyrosine Kinase
Q08881,ITK_HUMAN,Receptor Tyrosine Kinase
Q14289,FAK2_HUMAN,Receptor Tyrosine Kinase
Q05397,FAK1_HUMAN,Receptor Tyrosine Kinase
P07949,RET_HUMAN,Receptor Tyrosine Kinase
P07332,FES_HUMAN,Receptor Tyrosine Kinase
P16591,FER_HUMAN,Receptor Tyrosine Kinase
Q07912,ACK1_HUMAN,Receptor Tyrosine Kinase
P41240,CSK_HUMAN,Receptor Tyrosine Kinase
P42679,MATK_HUMAN,Receptor Tyrosine Kinase
P42685,FRK_HUMAN,Receptor Tyrosine Kinase
Q13882,PTK6_HUMAN,Receptor Tyrosine Kinase
Q9H3Y6,SRMS_HUMAN,Receptor Tyrosine Kinase
P43403,ZAP70_HUMAN,Receptor Tyrosine Kinase
P43405,KSYK_HUMAN,Receptor Tyrosine Kinase
Q13470,TNK1_HUMAN,Receptor Tyrosine Kinase
P34925,RYK_HUMAN,Receptor Tyrosine Kinase
P29376,LTK_HUMAN,Receptor Tyrosine Kinase
O15146,MUSK_HUMAN,Receptor Tyrosine Kinase
Q15858,SCN9A_HUMAN,Voltage Gated Sodium Channels
Q9UQD0,SCN8A_HUMAN,Voltage Gated Sodium Channels
Q9NY46,SCN3A_HUMAN,Voltage Gated Sodium Channels
Q99250,SCN2A_HUMAN,Voltage Gated Sodium Channels
P35498,SCN1A_HUMAN,Voltage Gated Sodium Channels
Q14524,SCN5A_HUMAN,Voltage Gated Sodium Channels
Q9Y5Y9,SCNAA_HUMAN,Voltage Gated Sodium Channels
Q9UI33,SCNBA_HUMAN,Voltage Gated Sodium Channels
P35499,SCN4A_HUMAN,Voltage Gated Sodium Channels
Q01118,SCN7A_HUMAN,Voltage Gated Sodium Channels
C9JLJ4,U17LD_HUMAN,Ubiquitin Hydrolase
C9J2P7,U17LF_HUMAN,Ubiquitin Hydrolase
C9JPN9,UL17C_HUMAN,Ubiquitin Hydrolase
D6R901,U17LL_HUMAN,Ubiquitin Hydrolase
A8MUK1,U17L5_HUMAN,Ubiquitin Hydrolase
Q0WX57,U17LO_HUMAN,Ubiquitin Hydrolase
D6RCP7,U17LJ_HUMAN,Ubiquitin Hydrolase
D6RA61,U17LM_HUMAN,Ubiquitin Hydrolase
C9JVI0,U17LB_HUMAN,Ubiquitin Hydrolase
D6RJB6,U17LK_HUMAN,Ubiquitin Hydrolase
D6RBQ6,U17LH_HUMAN,Ubiquitin Hydrolase
D6R9N7,U17LI_HUMAN,Ubiquitin Hydrolase
P0C7H9,U17L7_HUMAN,Ubiquitin Hydrolase
Q7RTZ2,U17L1_HUMAN,Ubiquitin Hydrolase
A6NCW0,U17L3_HUMAN,Ubiquitin Hydrolase
Q6R6M4,U17L2_HUMAN,Ubiquitin Hydrolase
A6NCW7,U17L4_HUMAN,Ubiquitin Hydrolase
P0C7I0,U17L8_HUMAN,Ubiquitin Hydrolase
Q7Z408,CSMD2_HUMAN,
Q96PZ7,CSMD1_HUMAN,
Q7Z407,CSMD3_HUMAN,
O43194,GPR39_HUMAN,GPCR
O95665,NTR2_HUMAN,GPCR
P30989,NTR1_HUMAN,GPCR
O43193,MTLR_HUMAN,GPCR
Q92847,GHSR_HUMAN,GPCR
Q9HB89,NMUR1_HUMAN,GPCR
Q9GZQ4,NMUR2_HUMAN,GPCR
P24530,EDNRB_HUMAN,GPCR
P25101,EDNRA_HUMAN,GPCR
P32247,BRS3_HUMAN,GPCR
P28336,NMBR_HUMAN,GPCR
P30550,GRPR_HUMAN,GPCR
Q13585,MTR1L_HUMAN,GPCR
P49286,MTR1B_HUMAN,GPCR
P48039,MTR1A_HUMAN,GPCR
P25929,NPY1R_HUMAN,GPCR
P50391,NPY4R_HUMAN,GPCR
P0DQD5,NPY42_HUMAN,GPCR
P21452,NK2R_HUMAN,GPCR
P25103,NK1R_HUMAN,GPCR
P29371,NK3R_HUMAN,GPCR
Q8TCW9,PKR1_HUMAN,GPCR
Q8NFJ6,PKR2_HUMAN,GPCR
O43614,OX2R_HUMAN,GPCR
O43613,OX1R_HUMAN,GPCR
Q9GZQ6,NPFF1_HUMAN,GPCR
Q9Y5X5,NPFF2_HUMAN,GPCR
P32239,GASR_HUMAN,GPCR
P32238,CCKAR_HUMAN,GPCR
Q96P65,QRFPR_HUMAN,GPCR
Q9NYM4,GPR83_HUMAN,GPCR
P49683,PRLHR_HUMAN,GPCR
P49146,NPY2R_HUMAN,GPCR
Q15761,NPY5R_HUMAN,GPCR
Q15760,GPR19_HUMAN,GPCR
P34981,TRFR_HUMAN,GPCR
Q9BXC0,HCAR1_HUMAN,GPCR
Q8TDS4,HCAR2_HUMAN,GPCR
P49019,HCAR3_HUMAN,GPCR
Q8TDS5,OXER1_HUMAN,GPCR
O00270,GPR31_HUMAN,GPCR
P41231,P2RY2_HUMAN,GPCR
P51582,P2RY4_HUMAN,GPCR
Q96P68,OXGR1_HUMAN,GPCR
Q9BXA5,SUCR1_HUMAN,GPCR
Q15077,P2RY6_HUMAN,GPCR
P47900,P2RY1_HUMAN,GPCR
Q9H1C0,LPAR5_HUMAN,GPCR
P43657,LPAR6_HUMAN,GPCR
Q99677,LPAR4_HUMAN,GPCR
Q9UPC5,GPR34_HUMAN,GPCR
Q13304,GPR17_HUMAN,GPCR
Q9NS75,CLTR2_HUMAN,GPCR
Q9Y271,CLTR1_HUMAN,GPCR
Q8IYL9,PSYR_HUMAN,GPCR
Q15743,OGR1_HUMAN,GPCR
P46093,GPR4_HUMAN,GPCR
Q96RI0,PAR4_HUMAN,GPCR
O00254,PAR3_HUMAN,GPCR
P25116,PAR1_HUMAN,GPCR
P55085,PAR2_HUMAN,GPCR
Q86VZ1,P2RY8_HUMAN,GPCR
O14843,FFAR3_HUMAN,GPCR
O15529,GPR42_HUMAN,GPCR
O14626,GP171_HUMAN,GPCR
Q9BY21,GPR87_HUMAN,GPCR
Q9BPV8,P2Y13_HUMAN,GPCR
Q15391,P2Y14_HUMAN,GPCR
Q9H244,P2Y12_HUMAN,GPCR
O00398,P2Y10_HUMAN,GPCR
P25105,PTAFR_HUMAN,GPCR
Q99678,GPR20_HUMAN,GPCR
Q14330,GPR18_HUMAN,GPCR
Q9Y2T6,GPR55_HUMAN,GPCR
Q9HC97,GPR35_HUMAN,GPCR
Q96P67,GPR82_HUMAN,GPCR
O14842,FFAR1_HUMAN,GPCR
O15552,FFAR2_HUMAN,GPCR
P21462,FPR1_HUMAN,GPCR
P25090,FPR2_HUMAN,GPCR
P25089,FPR3_HUMAN,GPCR
Q16581,C3AR_HUMAN,GPCR
P21730,C5AR1_HUMAN,GPCR
Q9P296,C5AR2_HUMAN,GPCR
Q99788,CML1_HUMAN,GPCR
P46091,CML2_HUMAN,GPCR
Q9Y5Y4,PD2R2_HUMAN,GPCR
Q49SQ1,GPR33_HUMAN,GPCR
O75388,GPR32_HUMAN,GPCR
Q969F8,KISSR_HUMAN,GPCR
P47211,GALR1_HUMAN,GPCR
O43603,GALR2_HUMAN,GPCR
O60755,GALR3_HUMAN,GPCR
O00155,GPR25_HUMAN,GPCR
P49685,GPR15_HUMAN,GPCR
P30411,BKRB2_HUMAN,GPCR
P46663,BKRB1_HUMAN,GPCR
P35414,APJ_HUMAN,GPCR
P25106,ACKR3_HUMAN,GPCR
P30556,AGTR1_HUMAN,GPCR
P50052,AGTR2_HUMAN,GPCR
Q99705,MCHR1_HUMAN,GPCR
Q969V1,MCHR2_HUMAN,GPCR
Q9NPC1,LT4R2_HUMAN,GPCR
Q15722,LT4R1_HUMAN,GPCR
Q8TDU9,RL3R2_HUMAN,GPCR
Q9UKP6,UR2R_HUMAN,GPCR
P41146,OPRX_HUMAN,GPCR
P41145,OPRK_HUMAN,GPCR
P35372,OPRM_HUMAN,GPCR
P41143,OPRD_HUMAN,GPCR
P48146,NPBW2_HUMAN,GPCR
P48145,NPBW1_HUMAN,GPCR
P30872,SSR1_HUMAN,GPCR
P31391,SSR4_HUMAN,GPCR
P32745,SSR3_HUMAN,GPCR
P35346,SSR5_HUMAN,GPCR
P30874,SSR2_HUMAN,GPCR
P41597,CCR2_HUMAN,GPCR
P51681,CCR5_HUMAN,GPCR
P51677,CCR3_HUMAN,GPCR
P32246,CCR1_HUMAN,GPCR
O00421,CCRL2_HUMAN,GPCR
P49238,CX3C1_HUMAN,GPCR
P51679,CCR4_HUMAN,GPCR
P51685,CCR8_HUMAN,GPCR
O00590,ACKR2_HUMAN,GPCR
P46094,XCR1_HUMAN,GPCR
P25025,CXCR2_HUMAN,GPCR
P25024,CXCR1_HUMAN,GPCR
P32302,CXCR5_HUMAN,GPCR
P61073,CXCR4_HUMAN,GPCR
P49682,CXCR3_HUMAN,GPCR
P46092,CCR10_HUMAN,GPCR
O00574,CXCR6_HUMAN,GPCR
Q9NPB9,ACKR4_HUMAN,GPCR
P51684,CCR6_HUMAN,GPCR
P32248,CCR7_HUMAN,GPCR
P51686,CCR9_HUMAN,GPCR
P08173,ACM4_HUMAN,GPCR
P08172,ACM2_HUMAN,GPCR
P20309,ACM3_HUMAN,GPCR
P11229,ACM1_HUMAN,GPCR
P08912,ACM5_HUMAN,GPCR
P41595,5HT2B_HUMAN,GPCR
P28223,5HT2A_HUMAN,GPCR
P28335,5HT2C_HUMAN,GPCR
P25100,ADA1D_HUMAN,GPCR
P35368,ADA1B_HUMAN,GPCR
P35348,ADA1A_HUMAN,GPCR
P28222,5HT1B_HUMAN,GPCR
P28221,5HT1D_HUMAN,GPCR
P30939,5HT1F_HUMAN,GPCR
P28566,5HT1E_HUMAN,GPCR
P08908,5HT1A_HUMAN,GPCR
P47898,5HT5A_HUMAN,GPCR
P21918,DRD5_HUMAN,GPCR
P21728,DRD1_HUMAN,GPCR
P08588,ADRB1_HUMAN,GPCR
P07550,ADRB2_HUMAN,GPCR
P13945,ADRB3_HUMAN,GPCR
P34969,5HT7R_HUMAN,GPCR
P50406,5HT6R_HUMAN,GPCR
Q13639,5HT4R_HUMAN,GPCR
P25021,HRH2_HUMAN,GPCR
P35367,HRH1_HUMAN,GPCR
Q9H3N8,HRH4_HUMAN,GPCR
Q9Y5N1,HRH3_HUMAN,GPCR
P18825,ADA2C_HUMAN,GPCR
P08913,ADA2A_HUMAN,GPCR
P18089,ADA2B_HUMAN,GPCR
P21917,DRD4_HUMAN,GPCR
P14416,DRD2_HUMAN,GPCR
P35462,DRD3_HUMAN,GPCR
P30542,AA1R_HUMAN,GPCR
P0DMS8,AA3R_HUMAN,GPCR
P29275,AA2BR_HUMAN,GPCR
